date,residual
2023-06-20,-13.599999999999994
2023-06-21,-13.140000000000015
2023-06-22,-1.1300000000000097
2023-06-23,-0.5999999999999943
2023-06-24,10.269999999999996
2023-06-25,9.909999999999997
2023-06-26,-9.560000000000002
2023-06-27,0.8499999999999943
2023-06-28,-4.439999999999998
2023-06-29,-1.4699999999999989
2023-06-30,25.75999999999999
2023-07-01,21.060000000000002
2023-07-02,22.129999999999995
2023-07-03,11.830000000000013
2023-07-04,20.159999999999997
2023-07-05,29.11999999999999
2023-07-06,25.989999999999995
2023-07-07,18.17999999999998
2023-07-08,16.629999999999995
2023-07-09,20.090000000000003
2023-07-10,26.840000000000003
2023-07-11,27.590000000000003
2023-07-12,42.44000000000001
2023-07-13,44.93999999999998
2023-07-14,39.41
2023-07-15,24.370000000000005
2023-07-16,24.680000000000007
2023-07-17,13.899999999999991
2023-07-18,19.409999999999997
2023-07-19,26.360000000000014
