horizon,abs_error,squared_error,pct_error
1,4.355562130177532,18.97092146983664,3.2736280572548146
2,5.8111242603550295,33.76916516928679,4.320217277789777
3,3.2133136094674484,10.32538435278872,2.5606132835026285
4,1.582248520710067,2.5035103812891952,1.214405188970809
5,4.387810650887559,19.252882308042302,3.296627085565409
6,0.22337278106508052,0.04989539932074839,0.17323777033122423
7,9.591065088757404,91.98852953678106,8.050923435538826
8,0.06449704142011115,0.0041598683519475325,0.050079230856519254
9,0.02994082840237411,0.0008964532054204121,0.023264046932691615
10,0.4743786982248537,0.2250351493295068,0.3698570857826709
11,19.90118343195266,396.05710199222705,13.388847841733492
12,16.72674556213019,279.784017100242,11.498415867278608
13,25.342307692307685,642.2325591715972,16.446432404638642
14,16.9978698224852,288.92757850215304,11.662346361910943
15,19.433431952662716,377.6582774587722,13.11386190206
16,27.86899408284023,776.6808311893839,17.79288391932595
17,22.734556213017754,516.8600462028642,15.006307731364855
18,22.18011834319526,491.9576497181469,14.693685553623888
19,20.375680473372796,415.16835475298546,13.661200451473546
20,27.401242603550315,750.8280962186209,17.544655271833985
21,26.236804733727837,688.3699226357635,16.924786952475703
22,26.81236686390531,718.9030168446475,17.23159824158439
23,23.477928994082845,551.2131498511959,15.418617583294703
24,27.40349112426034,750.9513257974153,17.54384835099894
25,27.509053254437873,756.7480109554989,17.59903605299589
26,5.434615384615398,29.535044378698373,4.048432199504915
27,7.27017751479292,52.855481096600556,5.342576069071811
28,0.904260355029578,0.8176867896782185,0.7069504769209428
29,7.211301775147945,52.0028732922519,5.301258380613059
30,8.446863905325444,71.3495098350898,6.153466821101073
