horizon,mae,rmse,mape
1,4.360000000000014,19.00960000000012,3.276963547538529
2,5.819999999999993,33.87239999999992,4.326815850122663
3,3.200000000000003,10.240000000000018,2.550003984381228
4,1.5999999999999943,2.559999999999982,1.228029779722154
5,4.409999999999997,19.448099999999968,3.3132982719759556
6,0.25,0.0625,0.19388863037071508
7,9.560000000000002,91.39360000000005,8.024846806010242
8,0.09999999999999432,0.009999999999998864,0.0776457799518552
9,0.009999999999990905,9.99999999998181e-05,0.007770007770000704
10,0.4300000000000068,0.18490000000000587,0.3352565102136339
11,19.94999999999999,398.00249999999954,13.42168998923573
12,16.78,281.56840000000005,11.535024403657113
13,25.400000000000006,645.1600000000003,16.483873061198004
14,17.060000000000002,291.0436000000001,11.70497427101201
15,19.5,380.25,13.158782643903097
16,27.939999999999998,780.6435999999999,17.838217455149078
17,22.810000000000002,520.2961000000001,15.056105610561058
18,22.25999999999999,495.50759999999957,14.746604836038419
19,20.460000000000008,418.61160000000035,13.717733825008386
20,27.49000000000001,755.7001000000005,17.601485465488544
21,26.330000000000013,693.2689000000007,16.984905173526005
22,26.909999999999997,724.1480999999998,17.294344473007712
23,23.580000000000013,556.0164000000005,15.4856504892625
24,27.50999999999999,756.8000999999995,17.612035851472466
25,27.620000000000005,762.8644000000003,17.67001471434969
26,5.550000000000011,30.802500000000126,4.1343861740166945
27,7.390000000000015,54.61210000000022,5.430629041740163
28,0.7800000000000011,0.6084000000000018,0.609803768274569
29,7.340000000000003,53.87560000000005,5.395868558406237
30,8.580000000000013,73.61640000000021,6.25045530705909
