horizon,abs_error,squared_error,pct_error
1,1.284285714285744,1.6493897959184436,0.9652654748483607
2,2.7442857142857235,7.531104081632704,2.040209437428982
3,6.2757142857142725,39.3845897959182,5.0009676354404915
4,1.4757142857142753,2.177732653061194,1.1326381807615897
5,1.334285714285727,1.7803183673469727,1.0024686057744006
6,2.8257142857142696,7.984661224489705,2.191495490704413
7,12.635714285714272,159.66127551020372,10.606660191147714
8,2.9757142857142753,8.85487551020402,2.3105165662817577
9,3.0657142857142787,9.39860408163261,2.3820623820623767
10,3.5057142857142765,12.290032653061159,2.733287295894493
11,16.87428571428572,284.7415183673471,11.352452714131942
12,13.704285714285732,187.80744693877597,9.420695479676725
13,22.324285714285736,498.3737326530622,14.487822515598506
14,13.984285714285733,195.56024693877603,9.594707179612852
15,16.42428571428573,269.75716122449035,11.083261835674291
16,24.864285714285728,618.2327040816333,15.874535985625823
17,19.734285714285733,389.442032653062,13.025931164545037
18,19.18428571428572,368.0368183673472,12.709033265508927
19,17.38428571428574,302.2133897959192,11.655572051146992
20,24.41428571428574,596.0573469387767,15.632146058577115
21,23.254285714285743,540.761804081634,15.000829386070016
22,23.834285714285727,568.0731755102047,15.317664340800597
23,20.504285714285743,420.42573265306237,13.46574224357112
24,24.43428571428572,597.0343183673473,15.642948600695087
25,24.544285714285735,602.4219612244908,15.702313168886018
26,2.4742857142857417,6.122089795918503,1.8431806572450398
27,4.314285714285745,18.613061224490064,3.17040396405478
28,3.8557142857142708,14.866532653061109,3.0143962831008295
29,4.264285714285734,18.18413265306139,3.1348126988794633
30,5.504285714285743,30.29716122449011,4.0098242254576695
