horizon,abs_error,squared_error,pct_error
1,13.599999999999994,184.95999999999984,10.221721157459598
2,13.140000000000015,172.65960000000038,9.768790424503766
3,1.1300000000000097,1.276900000000022,0.900470156984628
4,0.5999999999999943,0.35999999999999316,0.460511167395805
5,10.269999999999996,105.47289999999992,7.716003005259201
6,9.909999999999997,98.20809999999993,7.685745307895142
7,9.560000000000002,91.39360000000005,8.024846806010242
8,0.8499999999999943,0.7224999999999904,0.6599891295908024
9,4.439999999999998,19.71359999999998,3.4498834498834485
10,1.4699999999999989,2.1608999999999967,1.1461094651489154
11,25.75999999999999,663.5775999999995,17.33046286329386
12,21.060000000000002,443.5236000000001,14.47721179624665
13,22.129999999999995,489.7368999999998,14.361736647413844
14,11.830000000000013,139.9489000000003,8.116638078902238
15,20.159999999999997,406.42559999999986,13.60415682569674
16,29.11999999999999,847.9743999999995,18.591585264636397
17,25.989999999999995,675.4800999999998,17.155115511551152
18,18.17999999999998,330.5123999999992,12.043723087114925
19,16.629999999999995,276.55689999999987,11.14984914515588
20,20.090000000000003,403.60810000000015,12.863362786528365
21,26.840000000000003,720.3856000000002,17.313894981292737
22,27.590000000000003,761.2081000000002,17.731362467866326
23,42.44000000000001,1801.153600000001,27.871543967951673
24,44.93999999999998,2019.6035999999986,28.770806658130592
25,39.41,1553.1480999999997,25.212718316166587
26,24.370000000000005,593.8969000000002,18.154052443384984
27,24.680000000000007,609.1024000000003,18.136390358612584
28,13.899999999999991,193.20999999999975,10.867015870533962
29,19.409999999999997,376.74809999999985,14.268911269572888
30,26.360000000000014,694.8496000000007,19.20303052378525
